CaseAbstract                                            病历摘要
PostpartumHospitalizationTreatment   产后处置
TreatmentPlan                                         处置计划
DeliveryEvaluation                                  分娩评估
Risk                                                           风险
High-valueConsumables                        高值耗材
Consultation                                            会诊
ConsultationOpinion                              会诊意见
ConsultationReason                               会诊原因
InspectionReport                                    检验报告
Skin                                                         皮肤
OtherDisposal                                        其他处置
OtherRelevantInformation                   其他相关信息
InstrumentCheck                                   器械物品核对
SaveRecord                                            抢救记录
AdmissionInformation                         入院信息
AutopsyOpinion                                   尸检意见
ConclusionPreoperative                      术前讨论
DeathCause                                          死亡原因
Limbs                                                    四肢
DiscussionSummary                            讨论记录
DiscussContent                                   讨论内容
HealthEvents                                       卫生事件
Newborn                                              新生儿
Opinion                                                意见
